"data","dia.do.ano","t.media","t.max","t.min","chuva","ur","estacao"
2009-05-02,122,24.5108333333333,29.92,22.2,0.4,88.4235416666667,"Outono"
2009-05-03,123,24.2922916666667,26.89,22.48,0,89.2708333333333,"Outono"
2009-05-04,124,25.0316666666667,29.88,22.3,13.2,86.625625,"Outono"
2009-05-05,125,25.7591666666667,30.23,23.78,2.4,85.3120833333333,"Outono"
2009-05-06,126,24.3110416666667,29.14,22.78,6.2,89.7191666666667,"Outono"
2009-05-07,127,25.453125,29.57,21.39,0.8,82.4741666666667,"Outono"
2009-05-08,128,27.31875,32.71,23.9,13.8,75.039375,"Outono"
2009-05-09,129,24.8879166666667,29.78,23.03,24.6,88.425625,"Outono"
2009-05-10,130,24.43375,28.09,22.39,42,88.1166666666667,"Outono"
2009-05-11,131,24.7472916666667,29.86,22.86,11,89.7835416666667,"Outono"
2009-05-12,132,25.881875,29.44,23.38,8.8,84.4102083333333,"Outono"
2009-05-13,133,23.3375,27.16,21.88,72,93.575,"Outono"
2009-05-14,134,25.2870833333333,29.8,21.69,1.4,86.8102083333333,"Outono"
2009-05-15,135,26.7316666666667,31.53,23.68,0,79.7152083333333,"Outono"
2009-05-16,136,25.5108333333333,29.7,23.74,8,85.7539583333333,"Outono"
2009-05-17,137,25.9660416666667,30.06,23.57,1.2,83.4885416666667,"Outono"
2009-05-18,138,26.1597916666667,30.36,22.81,1.8,83.445625,"Outono"
2009-05-19,139,24.2347916666667,27.67,22.89,13.4,92.89375,"Outono"
2009-05-20,140,24.8133333333333,28.5,22.71,5,87.6389583333333,"Outono"
2009-05-21,141,25.7566666666667,30.47,22.88,0.6,82.5939583333333,"Outono"
2009-05-22,142,25.316875,29.71,23.14,18.4,85.6047916666667,"Outono"
2009-05-23,143,24.7347916666667,28.06,22.96,1.8,89,"Outono"
2009-05-24,144,25.3004166666667,30.08,23.06,3.4,87.329375,"Outono"
2009-05-25,145,24.1966666666667,27.94,23,3.6,91.74375,"Outono"
2009-05-26,146,25.9083333333333,30.44,22.58,0.2,82.6029166666667,"Outono"
2009-05-27,147,24.9145833333333,27.93,23.57,4.4,91.0041666666667,"Outono"
